date_of_trip,Member type,count
2011-05-03,Member,3763
2011-05-04,Casual,252
2011-05-04,Member,2343
2011-05-05,Casual,611
2011-05-05,Member,3727
2011-05-06,Casual,891
2011-05-06,Member,3645
2011-05-07,Casual,1605
2011-05-07,Member,3011
2011-05-08,Casual,1400
2011-05-08,Member,2845
2011-05-09,Casual,661
2011-05-09,Member,3622
2011-05-10,Casual,691
2011-05-10,Member,4042
2011-05-11,Casual,550
2011-05-11,Member,3554
2011-05-12,Casual,694
2011-05-12,Member,4076
2011-05-13,Casual,690
2011-05-13,Member,3348
2011-05-14,Casual,899
2011-05-14,Member,2453
2011-05-15,Casual,1582
2011-05-15,Member,2902
2011-05-16,Casual,772
2011-05-16,Member,3137
2011-05-17,Casual,678
2011-05-17,Member,3389
2011-05-18,Casual,535
2011-05-18,Member,3277
2011-05-19,Casual,734
2011-05-19,Member,3769
2011-05-20,Casual,907
2011-05-20,Member,3937
2011-05-21,Casual,2254
2011-05-21,Member,3477
2011-05-22,Casual,1576
2011-05-22,Member,3020
2011-05-23,Casual,834
2011-05-23,Member,3390
2011-05-24,Casual,659
2011-05-24,Member,3763
2011-05-25,Casual,739
2011-05-25,Member,4178
2011-05-26,Casual,757
2011-05-26,Member,3874
2011-05-27,Casual,869
2011-05-27,Member,3753
2011-05-28,Casual,2000
2011-05-28,Member,2693
2011-05-29,Casual,2352
2011-05-29,Member,2391
2011-05-30,Casual,1548
2011-05-30,Member,2499
2011-05-31,Casual,671
2011-05-31,Member,3269
2011-06-01,Casual,512
2011-06-01,Member,3419
2011-06-02,Casual,736
2011-06-02,Member,4176
2011-06-03,Casual,898
2011-06-03,Member,4344
2011-06-04,Casual,1864
2011-06-04,Member,3384
2011-06-05,Casual,1684
2011-06-05,Member,3175
2011-06-06,Casual,670
2011-06-06,Member,3818
2011-06-07,Casual,760
2011-06-07,Member,4023
2011-06-08,Casual,675
2011-06-08,Member,3683
2011-06-09,Casual,562
2011-06-09,Member,3326
2011-06-09,Unknown,1
2011-06-10,Casual,814
2011-06-10,Member,3726
2011-06-11,Casual,1727
2011-06-11,Member,3174
2011-06-11,Unknown,1
2011-06-12,Casual,1467
2011-06-12,Member,2940
2011-06-13,Casual,863
2011-06-13,Member,4106
2011-06-14,Casual,726
2011-06-14,Member,4103
2011-06-15,Casual,769
2011-06-15,Member,4354
2011-06-16,Casual,544
2011-06-16,Member,3181
2011-06-17,Casual,862
2011-06-17,Member,3910
2011-06-18,Casual,1806
2011-06-18,Member,3248
2011-06-19,Casual,1638
2011-06-19,Member,3038
2011-06-20,Casual,697
2011-06-20,Member,3270
2011-06-21,Casual,770
2011-06-21,Member,3999
2011-06-22,Casual,655
2011-06-22,Member,3790
2011-06-23,Casual,745
2011-06-23,Member,3979
2011-06-24,Casual,969
2011-06-24,Member,3961
2011-06-25,Casual,1781
2011-06-25,Member,3333
2011-06-26,Casual,1918
2011-06-26,Member,3323
2011-06-27,Casual,853
2011-06-27,Member,3802
2011-06-28,Casual,729
2011-06-28,Member,3851
2011-06-29,Casual,848
2011-06-29,Member,4307
2011-06-30,Casual,1024
2011-06-30,Member,4432
2011-07-01,Casual,1244
2011-07-01,Member,4052
2011-07-02,Casual,2204
2011-07-02,Member,2848
2011-07-03,Casual,2279
2011-07-03,Member,2312
2011-07-04,Casual,3060
2011-07-04,Member,2915
2011-07-05,Casual,1030
2011-07-05,Member,3584
2011-07-06,Casual,783
2011-07-06,Member,3786
2011-07-07,Casual,754
2011-07-07,Member,3753
2011-07-08,Casual,689
2011-07-08,Member,3290
2011-07-09,Casual,1987
2011-07-09,Member,3281
2011-07-10,Casual,1744
2011-07-10,Member,3083
2011-07-11,Casual,720
2011-07-11,Member,3320
2011-07-12,Casual,661
2011-07-12,Member,3546
2011-07-13,Casual,745
2011-07-13,Member,3544
2011-07-14,Casual,888
